,pearson_r
DYNC1I2,0.502204065090104
NDUFA3,0.501961138647539
MRPS27,0.501415432004568
PSMD2,0.4996251802301114
RRP7A,0.4990726450167728
EBNA1BP2,0.498730455606353
CDC123,0.4982857001874364
RPL19,0.4972026666409122
CDC6,0.49543368781145514
RPS10,0.4948659270550897
MRPL39,0.49454388952158956
CASP8AP2,0.494064808602128
GTF2H1,0.4932348366438391
LYRM4,0.49309192449186656
DROSHA,0.49242785572274494
AFG3L2,0.49158332174954844
EIF3L,0.49152331943396477
CMTR1,0.4913575770844497
DICER1,0.49059135669384746
SYF2,0.4902713328796172
EPRS,0.4900761771703522
DENR,0.4897322463850157
RFC4,0.48946900715893893
CPNE1,0.4888105752731955
PSMB6,0.48796580933924333
RPL9,0.487647307721932
PAXBP1,0.4872320779429826
UBA1,0.48682971191588964
RPL13,0.48673384330799435
PFDN2,0.4862095022280363
DDX24,0.48580556027292593
MRPL18,0.4852664200511396
MED20,0.48392989123872643
ATP5F1C,0.48392665260676876
OXA1L,0.48386946507011946
FARSA,0.48370798944258064
PI4KA,0.48294545809797784
ATP6V1B2,0.4826602211309138
NAA25,0.48241381518714144
RPA1,0.4801462140396174
INTS11,0.47972852094619
ZNF559,0.47972822055156966
TIMM9,0.47965715440529194
ZMAT2,0.47962594011830795
MED1,0.47921333417760104
COG3,0.4790386908414592
TTC27,0.4789380677938927
NLE1,0.4786039456555955
INTS3,0.47837384414637935
RPL35,0.47752333989402757
BMS1,0.4768943476012553
ELAC2,0.4755985484608777
RRP12,0.4754792328618723
WDR70,0.47541354823070553
NMD3,0.4748329464586495
PRPF40A,0.4748130301092346
RFC5,0.47449229792060593
RPL37,0.4744226079766444
MRPL19,0.4739611326772383
MRPL17,0.47351929264144255
TELO2,0.47342637612447336
MTBP,0.47339339641833866
NOP2,0.4733590477860137
DAD1,0.47269866384719994
MDN1,0.4726168206536875
YARS,0.47257536569328273
PHF5A,0.4725283453260719
TIMM22,0.47163111471187563
ELP3,0.4700153271220592
CDC27,0.469401824471935
TTC1,0.46872085939937147
DDX56,0.4678873818962539
POLA1,0.4671859131496248
MED14,0.46685624953959415
RAMAC,0.4664105879180168
NDUFV2,0.46538482729070463
PSMB2,0.46519710901884354
TMX2,0.46509013404511956
TRRAP,0.46409431040518145
HMGB3,0.4639401218340692
FTSJ3,0.4638378877031589
RACK1,0.4637726436892268
LSM3,0.46308602487926204
GTF2F2,0.4625289052424567
CXXC1,0.4623049128618093
RBX1,0.46222346667072645
RPL8,0.46213377470105155
PNN,0.4620655529255819
DBR1,0.46193024641483443
SNRNP27,0.4615003426154384
RRM2,0.46135155499296276
HSPD1,0.4612070369596498
THOC5,0.46056014175542004
PMF1,0.45973081077998634
PGAM5,0.45971139081815454
KANSL2,0.4596179651424852
GATA1,0.4579728622314412
PRIM2,0.4571622820838901
SUPV3L1,0.45710692018726523
RPAP1,0.4570309772395427
RFC2,0.45676290563468197
PRPF38A,0.45639424815562535
RBM42,0.45613400928466685
SMNDC1,0.45450496348978464
RANGAP1,0.45397672830266556
GINS3,0.4534293545262019
PNO1,0.45310198594605094
PYURF,0.4529513769402721
DIMT1,0.45291711040297444
MRPL35,0.45268493156139517
RRS1,0.4526495033820421
CHAF1A,0.45258293196710386
NOP16,0.45216011968381054
DDX20,0.4521477410472797
PGPEP1,0.45176962868643034
ELOB,0.45169888239475275
MRPL2,0.4512547905058749
FAM102B,0.4502293340330268
WDR43,0.45005129471252947
PPP1R15B,0.45001550690524383
EIF2B1,0.4499044733508836
SFSWAP,0.44950969295329424
CCT6A,0.44931080415429736
MLLT6,0.44839996766985085
ATP6V0C,0.4481978105726567
AP2A1,0.44717782156383884
